experiment_id,parent_experiment_id,comparison_group_id,question_id,status,dataset_ids,dataset_version,preprocessing_version,split_manifest,random_seeds,initial_representation_id,representation_method_id,model,code_commit,hyperparameters_path,learned_embedding_path,downstream_task,evaluation_metrics_path,runtime_seconds,hardware_software_environment,saved_artifacts_manifest,biological_evaluation_path,reproducibility_status,run_record_path,started_at,finished_at,notes
EXP-LN-A1-PCA-KMEANS-S1729,,P3C-LN_A1-PCA,P3C_INFRASTRUCTURE_VALIDATION,SUCCEEDED,10x_human_lymph_node_A1,PHASE1D_SHA256_MANIFEST,PHASE_3C_CONFIG_FREEZE_2026-09-12,NOT_APPLICABLE_UNSUPERVISED_FULL_DATA,"{""clustering"": 1729, ""metric_subsample"": 0, ""numpy"": 1729, ""python"": 1729, ""representation"": 0}",PCA_CLASSICAL,PCA_CLASSICAL,transparent_baseline,8b5e9d239e910ca0a1efa496442b6d898fc0f6b2,08_experiments/EXP-LN-A1-PCA-KMEANS-S1729/config.yaml,08_experiments/EXP-LN-A1-PCA-KMEANS-S1729/embedding.npz,common_KMeans_clustering,08_experiments/EXP-LN-A1-PCA-KMEANS-S1729/metrics.json,0.27363112500461284,08_experiments/EXP-LN-A1-PCA-KMEANS-S1729/environment.json,08_experiments/EXP-LN-A1-PCA-KMEANS-S1729/saved_artifacts_manifest.json,08_experiments/EXP-LN-A1-PCA-KMEANS-S1729/metrics.json,R3_PROJECT_DATA_BASELINE,08_experiments/EXP-LN-A1-PCA-KMEANS-S1729/provenance.json,2026-09-11T19:23:19.892299+00:00,2026-09-11T19:23:20.166146+00:00,SCIENTIFIC_BASELINE_RUN; K from reference annotation count is privileged; source X semantics and coordinate units remain UNKNOWN; runtime excludes shared representation build
EXP-LN-A1-RNA-KMEANS-S1729,,P3C-LN_A1-RNA,P3C_INFRASTRUCTURE_VALIDATION,SUCCEEDED,10x_human_lymph_node_A1,PHASE1D_SHA256_MANIFEST,PHASE_3C_CONFIG_FREEZE_2026-09-12,NOT_APPLICABLE_UNSUPERVISED_FULL_DATA,"{""clustering"": 1729, ""metric_subsample"": 0, ""numpy"": 1729, ""python"": 1729, ""representation"": 0}",BASE_RNA,BASE_RNA,transparent_baseline,8b5e9d239e910ca0a1efa496442b6d898fc0f6b2,08_experiments/EXP-LN-A1-RNA-KMEANS-S1729/config.yaml,08_experiments/EXP-LN-A1-RNA-KMEANS-S1729/embedding.npz,common_KMeans_clustering,08_experiments/EXP-LN-A1-RNA-KMEANS-S1729/metrics.json,7.85067554199486,08_experiments/EXP-LN-A1-RNA-KMEANS-S1729/environment.json,08_experiments/EXP-LN-A1-RNA-KMEANS-S1729/saved_artifacts_manifest.json,08_experiments/EXP-LN-A1-RNA-KMEANS-S1729/metrics.json,R3_PROJECT_DATA_BASELINE,08_experiments/EXP-LN-A1-RNA-KMEANS-S1729/provenance.json,2026-09-11T19:23:42.795635+00:00,2026-09-11T19:23:50.646556+00:00,SCIENTIFIC_BASELINE_RUN; K from reference annotation count is privileged; source X semantics and coordinate units remain UNKNOWN; runtime excludes shared representation build
EXP-LN-A1-RNA-KMEANS-S2718,,P3C-LN_A1-RNA,P3C_INFRASTRUCTURE_VALIDATION,SUCCEEDED,10x_human_lymph_node_A1,PHASE1D_SHA256_MANIFEST,PHASE_3C_CONFIG_FREEZE_2026-09-12,NOT_APPLICABLE_UNSUPERVISED_FULL_DATA,"{""clustering"": 2718, ""metric_subsample"": 0, ""numpy"": 2718, ""python"": 2718, ""representation"": 0}",BASE_RNA,BASE_RNA,transparent_baseline,8b5e9d239e910ca0a1efa496442b6d898fc0f6b2,08_experiments/EXP-LN-A1-RNA-KMEANS-S2718/config.yaml,08_experiments/EXP-LN-A1-RNA-KMEANS-S2718/embedding.npz,common_KMeans_clustering,08_experiments/EXP-LN-A1-RNA-KMEANS-S2718/metrics.json,8.420204708003439,08_experiments/EXP-LN-A1-RNA-KMEANS-S2718/environment.json,08_experiments/EXP-LN-A1-RNA-KMEANS-S2718/saved_artifacts_manifest.json,08_experiments/EXP-LN-A1-RNA-KMEANS-S2718/metrics.json,R3_PROJECT_DATA_BASELINE,08_experiments/EXP-LN-A1-RNA-KMEANS-S2718/provenance.json,2026-09-11T19:23:50.735955+00:00,2026-09-11T19:23:59.156422+00:00,SCIENTIFIC_BASELINE_RUN; K from reference annotation count is privileged; source X semantics and coordinate units remain UNKNOWN; runtime excludes shared representation build
EXP-LN-A1-RNA-KMEANS-S31415,,P3C-LN_A1-RNA,P3C_INFRASTRUCTURE_VALIDATION,SUCCEEDED,10x_human_lymph_node_A1,PHASE1D_SHA256_MANIFEST,PHASE_3C_CONFIG_FREEZE_2026-09-12,NOT_APPLICABLE_UNSUPERVISED_FULL_DATA,"{""clustering"": 31415, ""metric_subsample"": 0, ""numpy"": 31415, ""python"": 31415, ""representation"": 0}",BASE_RNA,BASE_RNA,transparent_baseline,8b5e9d239e910ca0a1efa496442b6d898fc0f6b2,08_experiments/EXP-LN-A1-RNA-KMEANS-S31415/config.yaml,08_experiments/EXP-LN-A1-RNA-KMEANS-S31415/embedding.npz,common_KMeans_clustering,08_experiments/EXP-LN-A1-RNA-KMEANS-S31415/metrics.json,7.9687617080053315,08_experiments/EXP-LN-A1-RNA-KMEANS-S31415/environment.json,08_experiments/EXP-LN-A1-RNA-KMEANS-S31415/saved_artifacts_manifest.json,08_experiments/EXP-LN-A1-RNA-KMEANS-S31415/metrics.json,R3_PROJECT_DATA_BASELINE,08_experiments/EXP-LN-A1-RNA-KMEANS-S31415/provenance.json,2026-09-11T19:23:59.240385+00:00,2026-09-11T19:24:07.209401+00:00,SCIENTIFIC_BASELINE_RUN; K from reference annotation count is privileged; source X semantics and coordinate units remain UNKNOWN; runtime excludes shared representation build
EXP-LN-A1-PCA-KMEANS-S2718,,P3C-LN_A1-PCA,P3C_INFRASTRUCTURE_VALIDATION,SUCCEEDED,10x_human_lymph_node_A1,PHASE1D_SHA256_MANIFEST,PHASE_3C_CONFIG_FREEZE_2026-09-12,NOT_APPLICABLE_UNSUPERVISED_FULL_DATA,"{""clustering"": 2718, ""metric_subsample"": 0, ""numpy"": 2718, ""python"": 2718, ""representation"": 0}",PCA_CLASSICAL,PCA_CLASSICAL,transparent_baseline,8b5e9d239e910ca0a1efa496442b6d898fc0f6b2,08_experiments/EXP-LN-A1-PCA-KMEANS-S2718/config.yaml,08_experiments/EXP-LN-A1-PCA-KMEANS-S2718/embedding.npz,common_KMeans_clustering,08_experiments/EXP-LN-A1-PCA-KMEANS-S2718/metrics.json,0.16991370799951255,08_experiments/EXP-LN-A1-PCA-KMEANS-S2718/environment.json,08_experiments/EXP-LN-A1-PCA-KMEANS-S2718/saved_artifacts_manifest.json,08_experiments/EXP-LN-A1-PCA-KMEANS-S2718/metrics.json,R3_PROJECT_DATA_BASELINE,08_experiments/EXP-LN-A1-PCA-KMEANS-S2718/provenance.json,2026-09-11T19:24:07.286595+00:00,2026-09-11T19:24:07.456727+00:00,SCIENTIFIC_BASELINE_RUN; K from reference annotation count is privileged; source X semantics and coordinate units remain UNKNOWN; runtime excludes shared representation build
EXP-LN-A1-PCA-KMEANS-S31415,,P3C-LN_A1-PCA,P3C_INFRASTRUCTURE_VALIDATION,SUCCEEDED,10x_human_lymph_node_A1,PHASE1D_SHA256_MANIFEST,PHASE_3C_CONFIG_FREEZE_2026-09-12,NOT_APPLICABLE_UNSUPERVISED_FULL_DATA,"{""clustering"": 31415, ""metric_subsample"": 0, ""numpy"": 31415, ""python"": 31415, ""representation"": 0}",PCA_CLASSICAL,PCA_CLASSICAL,transparent_baseline,8b5e9d239e910ca0a1efa496442b6d898fc0f6b2,08_experiments/EXP-LN-A1-PCA-KMEANS-S31415/config.yaml,08_experiments/EXP-LN-A1-PCA-KMEANS-S31415/embedding.npz,common_KMeans_clustering,08_experiments/EXP-LN-A1-PCA-KMEANS-S31415/metrics.json,0.17587033299787436,08_experiments/EXP-LN-A1-PCA-KMEANS-S31415/environment.json,08_experiments/EXP-LN-A1-PCA-KMEANS-S31415/saved_artifacts_manifest.json,08_experiments/EXP-LN-A1-PCA-KMEANS-S31415/metrics.json,R3_PROJECT_DATA_BASELINE,08_experiments/EXP-LN-A1-PCA-KMEANS-S31415/provenance.json,2026-09-11T19:24:07.519737+00:00,2026-09-11T19:24:07.695801+00:00,SCIENTIFIC_BASELINE_RUN; K from reference annotation count is privileged; source X semantics and coordinate units remain UNKNOWN; runtime excludes shared representation build
EXP-LN-A1-SPACE-KMEANS-S1729,,P3C-LN_A1-SPACE,P3C_INFRASTRUCTURE_VALIDATION,SUCCEEDED,10x_human_lymph_node_A1,PHASE1D_SHA256_MANIFEST,PHASE_3C_CONFIG_FREEZE_2026-09-12,NOT_APPLICABLE_UNSUPERVISED_FULL_DATA,"{""clustering"": 1729, ""metric_subsample"": 0, ""numpy"": 1729, ""python"": 1729, ""representation"": 0}",BASE_SPACE,BASE_SPACE,transparent_baseline,8b5e9d239e910ca0a1efa496442b6d898fc0f6b2,08_experiments/EXP-LN-A1-SPACE-KMEANS-S1729/config.yaml,08_experiments/EXP-LN-A1-SPACE-KMEANS-S1729/embedding.npz,common_KMeans_clustering,08_experiments/EXP-LN-A1-SPACE-KMEANS-S1729/metrics.json,0.08172366699727718,08_experiments/EXP-LN-A1-SPACE-KMEANS-S1729/environment.json,08_experiments/EXP-LN-A1-SPACE-KMEANS-S1729/saved_artifacts_manifest.json,08_experiments/EXP-LN-A1-SPACE-KMEANS-S1729/metrics.json,R3_PROJECT_DATA_BASELINE,08_experiments/EXP-LN-A1-SPACE-KMEANS-S1729/provenance.json,2026-09-11T19:24:07.756948+00:00,2026-09-11T19:24:07.838869+00:00,SCIENTIFIC_BASELINE_RUN; K from reference annotation count is privileged; source X semantics and coordinate units remain UNKNOWN; runtime excludes shared representation build
EXP-LN-A1-SPACE-KMEANS-S2718,,P3C-LN_A1-SPACE,P3C_INFRASTRUCTURE_VALIDATION,SUCCEEDED,10x_human_lymph_node_A1,PHASE1D_SHA256_MANIFEST,PHASE_3C_CONFIG_FREEZE_2026-09-12,NOT_APPLICABLE_UNSUPERVISED_FULL_DATA,"{""clustering"": 2718, ""metric_subsample"": 0, ""numpy"": 2718, ""python"": 2718, ""representation"": 0}",BASE_SPACE,BASE_SPACE,transparent_baseline,8b5e9d239e910ca0a1efa496442b6d898fc0f6b2,08_experiments/EXP-LN-A1-SPACE-KMEANS-S2718/config.yaml,08_experiments/EXP-LN-A1-SPACE-KMEANS-S2718/embedding.npz,common_KMeans_clustering,08_experiments/EXP-LN-A1-SPACE-KMEANS-S2718/metrics.json,0.09421012501115911,08_experiments/EXP-LN-A1-SPACE-KMEANS-S2718/environment.json,08_experiments/EXP-LN-A1-SPACE-KMEANS-S2718/saved_artifacts_manifest.json,08_experiments/EXP-LN-A1-SPACE-KMEANS-S2718/metrics.json,R3_PROJECT_DATA_BASELINE,08_experiments/EXP-LN-A1-SPACE-KMEANS-S2718/provenance.json,2026-09-11T19:24:07.895183+00:00,2026-09-11T19:24:07.989579+00:00,SCIENTIFIC_BASELINE_RUN; K from reference annotation count is privileged; source X semantics and coordinate units remain UNKNOWN; runtime excludes shared representation build
EXP-LN-A1-SPACE-KMEANS-S31415,,P3C-LN_A1-SPACE,P3C_INFRASTRUCTURE_VALIDATION,SUCCEEDED,10x_human_lymph_node_A1,PHASE1D_SHA256_MANIFEST,PHASE_3C_CONFIG_FREEZE_2026-09-12,NOT_APPLICABLE_UNSUPERVISED_FULL_DATA,"{""clustering"": 31415, ""metric_subsample"": 0, ""numpy"": 31415, ""python"": 31415, ""representation"": 0}",BASE_SPACE,BASE_SPACE,transparent_baseline,8b5e9d239e910ca0a1efa496442b6d898fc0f6b2,08_experiments/EXP-LN-A1-SPACE-KMEANS-S31415/config.yaml,08_experiments/EXP-LN-A1-SPACE-KMEANS-S31415/embedding.npz,common_KMeans_clustering,08_experiments/EXP-LN-A1-SPACE-KMEANS-S31415/metrics.json,0.08207279199268669,08_experiments/EXP-LN-A1-SPACE-KMEANS-S31415/environment.json,08_experiments/EXP-LN-A1-SPACE-KMEANS-S31415/saved_artifacts_manifest.json,08_experiments/EXP-LN-A1-SPACE-KMEANS-S31415/metrics.json,R3_PROJECT_DATA_BASELINE,08_experiments/EXP-LN-A1-SPACE-KMEANS-S31415/provenance.json,2026-09-11T19:24:08.048553+00:00,2026-09-11T19:24:08.130821+00:00,SCIENTIFIC_BASELINE_RUN; K from reference annotation count is privileged; source X semantics and coordinate units remain UNKNOWN; runtime excludes shared representation build
EXP-LN-A1-ADT-KMEANS-S1729,,P3C-LN_A1-ADT,P3C_INFRASTRUCTURE_VALIDATION,SUCCEEDED,10x_human_lymph_node_A1,PHASE1D_SHA256_MANIFEST,PHASE_3C_CONFIG_FREEZE_2026-09-12,NOT_APPLICABLE_UNSUPERVISED_FULL_DATA,"{""clustering"": 1729, ""metric_subsample"": 0, ""numpy"": 1729, ""python"": 1729, ""representation"": 0}",BASE_SECOND,BASE_SECOND,transparent_baseline,8b5e9d239e910ca0a1efa496442b6d898fc0f6b2,08_experiments/EXP-LN-A1-ADT-KMEANS-S1729/config.yaml,08_experiments/EXP-LN-A1-ADT-KMEANS-S1729/embedding.npz,common_KMeans_clustering,08_experiments/EXP-LN-A1-ADT-KMEANS-S1729/metrics.json,0.14818387500417884,08_experiments/EXP-LN-A1-ADT-KMEANS-S1729/environment.json,08_experiments/EXP-LN-A1-ADT-KMEANS-S1729/saved_artifacts_manifest.json,08_experiments/EXP-LN-A1-ADT-KMEANS-S1729/metrics.json,R3_PROJECT_DATA_BASELINE,08_experiments/EXP-LN-A1-ADT-KMEANS-S1729/provenance.json,2026-09-11T19:24:08.188427+00:00,2026-09-11T19:24:08.336835+00:00,SCIENTIFIC_BASELINE_RUN; K from reference annotation count is privileged; source X semantics and coordinate units remain UNKNOWN; runtime excludes shared representation build
