method_id,method_name,method_family,A1,A1_reason,D1,D1_reason,E11,E11_reason,E13,E13_reason,E15,E15_reason,E18,E18_reason,rna_support,adt_support,atac_support,spatial_support,paired_required,shared_features_required,raw_counts_required,labels_required,graph_required,image_required,official_code,compatibility_notes,across_mouse_stages,across_stage_reason,source_ids
BASE_RNA,RNA separate,tabular,COMPATIBLE_WITH_PREPROCESSING,RNA present; raw versus transformed representation must be labelled; no multimodal integration claim.,COMPATIBLE_WITH_PREPROCESSING,RNA present; raw versus transformed representation must be labelled; no multimodal integration claim.,COMPATIBLE_WITH_PREPROCESSING,RNA present; raw versus transformed representation must be labelled; no multimodal integration claim.,COMPATIBLE_WITH_PREPROCESSING,RNA present; raw versus transformed representation must be labelled; no multimodal integration claim.,COMPATIBLE_WITH_PREPROCESSING,RNA present; raw versus transformed representation must be labelled; no multimodal integration claim.,COMPATIBLE_WITH_PREPROCESSING,RNA present; raw versus transformed representation must be labelled; no multimodal integration claim.,YES,NO,NO,NOT_NATIVE,NOT_APPLICABLE,within each view across pooled samples; RNA and other-view columns need not match,TRANSFORM_DEPENDENT; do not re-normalize unknown X,NO for fit; annotation-informed K is a separately declared evaluation track,NO,NO for selected tabular variant,https://github.com/scikit-learn/scikit-learn,"Statuses are conditional input-contract interpretations, not successful execution. Single-dataset columns never imply across-stage compatibility.",COMPATIBLE_WITH_FEATURE_HARMONIZATION,Shared per-view coordinates/features or a validated alternate alignment contract required; no pooling stage-specific peaks by column position; E18 remains missing.,REP_PCA
BASE_SECOND,Second modality separate,tabular,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ADT contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ADT contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,MODALITY_MISSING,ATAC unavailable locally. Full paired multimodal candidate cannot be evaluated on E18.,NO_SELECTED_VARIANT,YES_OR_GENERAL_NUMERIC_VIEW,YES_OR_GENERAL_NUMERIC_VIEW,NOT_NATIVE,NOT_APPLICABLE,within each view across pooled samples; RNA and other-view columns need not match,TRANSFORM_DEPENDENT; do not re-normalize unknown X,NO for fit; annotation-informed K is a separately declared evaluation track,NO,NO for selected tabular variant,https://github.com/scikit-learn/scikit-learn,"Statuses are conditional input-contract interpretations, not successful execution. Single-dataset columns never imply across-stage compatibility.",COMPATIBLE_WITH_FEATURE_HARMONIZATION,Shared per-view coordinates/features or a validated alternate alignment contract required; no pooling stage-specific peaks by column position; E18 remains missing.,REP_PCA
BASE_CONCAT,Scaled concatenation,tabular,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ADT contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ADT contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,PARTIALLY_COMPATIBLE,"ATAC unavailable locally. RNA-only representation is possible, but this is not the proposed full multimodal setting.",YES,YES_OR_GENERAL_NUMERIC_VIEW,YES_OR_GENERAL_NUMERIC_VIEW,NOT_NATIVE,YES,within each view across pooled samples; RNA and other-view columns need not match,TRANSFORM_DEPENDENT; do not re-normalize unknown X,NO for fit; annotation-informed K is a separately declared evaluation track,NO,NO for selected tabular variant,https://github.com/scikit-learn/scikit-learn,"Statuses are conditional input-contract interpretations, not successful execution. Single-dataset columns never imply across-stage compatibility.",COMPATIBLE_WITH_FEATURE_HARMONIZATION,Shared per-view coordinates/features or a validated alternate alignment contract required; no pooling stage-specific peaks by column position; E18 remains missing.,REP_PCA
BASE_SPACE,Coordinates only,spatial coordinates,DIRECTLY_COMPATIBLE,Numeric two-column coordinates present for within-section coordinate control; physical units unknown.,DIRECTLY_COMPATIBLE,Numeric two-column coordinates present for within-section coordinate control; physical units unknown.,DIRECTLY_COMPATIBLE,Numeric two-column coordinates present for within-section coordinate control; physical units unknown.,DIRECTLY_COMPATIBLE,Numeric two-column coordinates present for within-section coordinate control; physical units unknown.,DIRECTLY_COMPATIBLE,Numeric two-column coordinates present for within-section coordinate control; physical units unknown.,DIRECTLY_COMPATIBLE,Numeric two-column coordinates present for within-section coordinate control; physical units unknown.,NO,NO,NO,REQUIRED,NOT_APPLICABLE,coordinate dimensions only,TRANSFORM_DEPENDENT; do not re-normalize unknown X,NO for fit; annotation-informed K is a separately declared evaluation track,NO,NO for selected tabular variant,https://github.com/scikit-learn/scikit-learn,"Statuses are conditional input-contract interpretations, not successful execution. Single-dataset columns never imply across-stage compatibility.",NOT_APPLICABLE,No across-stage coordinate alignment or ADT availability implied.,REP_KPCA
SPATIAL_KERNEL,Spatial kernel control,kernel,DIRECTLY_COMPATIBLE,Numeric two-column coordinates present for within-section coordinate control; physical units unknown.,DIRECTLY_COMPATIBLE,Numeric two-column coordinates present for within-section coordinate control; physical units unknown.,DIRECTLY_COMPATIBLE,Numeric two-column coordinates present for within-section coordinate control; physical units unknown.,DIRECTLY_COMPATIBLE,Numeric two-column coordinates present for within-section coordinate control; physical units unknown.,DIRECTLY_COMPATIBLE,Numeric two-column coordinates present for within-section coordinate control; physical units unknown.,DIRECTLY_COMPATIBLE,Numeric two-column coordinates present for within-section coordinate control; physical units unknown.,NO,NO,NO,REQUIRED,NOT_APPLICABLE,coordinate dimensions only,TRANSFORM_DEPENDENT; do not re-normalize unknown X,NO for fit; annotation-informed K is a separately declared evaluation track,NO,NO for selected tabular variant,https://github.com/scikit-learn/scikit-learn,"Statuses are conditional input-contract interpretations, not successful execution. Single-dataset columns never imply across-stage compatibility.",NOT_APPLICABLE,No across-stage coordinate alignment or ADT availability implied.,REP_KPCA
PCA_CLASSICAL,PCA,linear,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ADT contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ADT contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,PARTIALLY_COMPATIBLE,"ATAC unavailable locally. RNA-only representation is possible, but this is not the proposed full multimodal setting.",YES,YES_OR_GENERAL_NUMERIC_VIEW,YES_OR_GENERAL_NUMERIC_VIEW,NOT_NATIVE,YES,within each view across pooled samples; RNA and other-view columns need not match,TRANSFORM_DEPENDENT; do not re-normalize unknown X,NO for fit; annotation-informed K is a separately declared evaluation track,NO,NO for selected tabular variant,https://github.com/scikit-learn/scikit-learn,"Statuses are conditional input-contract interpretations, not successful execution. Single-dataset columns never imply across-stage compatibility.",COMPATIBLE_WITH_FEATURE_HARMONIZATION,Shared per-view coordinates/features or a validated alternate alignment contract required; no pooling stage-specific peaks by column position; E18 remains missing.,REP_PCA
NMF_CLASSICAL,NMF,nonnegative factor,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ADT contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ADT contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,PARTIALLY_COMPATIBLE,"ATAC unavailable locally. RNA-only representation is possible, but this is not the proposed full multimodal setting.",YES,YES_OR_GENERAL_NUMERIC_VIEW,YES_OR_GENERAL_NUMERIC_VIEW,NOT_NATIVE,YES,within each view across pooled samples; RNA and other-view columns need not match,TRANSFORM_DEPENDENT; do not re-normalize unknown X,NO for fit; annotation-informed K is a separately declared evaluation track,NO,NO for selected tabular variant,https://github.com/scikit-learn/scikit-learn,"Statuses are conditional input-contract interpretations, not successful execution. Single-dataset columns never imply across-stage compatibility.",COMPATIBLE_WITH_FEATURE_HARMONIZATION,Shared per-view coordinates/features or a validated alternate alignment contract required; no pooling stage-specific peaks by column position; E18 remains missing.,REP_NMF
CCA_CLASSICAL,CCA,cross-covariance,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ADT contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ADT contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,MODALITY_MISSING,ATAC unavailable locally. Full paired multimodal candidate cannot be evaluated on E18.,YES,YES_OR_GENERAL_NUMERIC_VIEW,YES_OR_GENERAL_NUMERIC_VIEW,NOT_NATIVE,YES,within each view across pooled samples; RNA and other-view columns need not match,TRANSFORM_DEPENDENT; do not re-normalize unknown X,NO for fit; annotation-informed K is a separately declared evaluation track,NO,NO for selected tabular variant,https://github.com/scikit-learn/scikit-learn,"Statuses are conditional input-contract interpretations, not successful execution. Single-dataset columns never imply across-stage compatibility.",COMPATIBLE_WITH_FEATURE_HARMONIZATION,Shared per-view coordinates/features or a validated alternate alignment contract required; no pooling stage-specific peaks by column position; E18 remains missing.,REP_CCA
MOFA_MOFA2,MOFA+,probabilistic factor,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ADT contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ADT contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,PARTIALLY_COMPATIBLE,ATAC unavailable locally. RNA-only query/missing-view mode requires a trained supported reference and masks; no observed ATAC evaluation.,YES,YES_OR_GENERAL_NUMERIC_VIEW,YES_OR_GENERAL_NUMERIC_VIEW,NOT_NATIVE,MASKS_OR_VARIANT_SPECIFIC,within each view across pooled samples; RNA and other-view columns need not match,TRANSFORM_DEPENDENT; do not re-normalize unknown X,NO for fit; annotation-informed K is a separately declared evaluation track,NO,NO for selected tabular variant,https://github.com/bioFAM/MOFA2,"Statuses are conditional input-contract interpretations, not successful execution. Single-dataset columns never imply across-stage compatibility.",COMPATIBLE_WITH_FEATURE_HARMONIZATION,Shared per-view coordinates/features or a validated alternate alignment contract required; no pooling stage-specific peaks by column position; E18 remains missing.,REP_MOFA_PLUS;DOC_MOFA
KERNEL_PCA,Kernel PCA,kernel,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ADT contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ADT contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,COMPATIBLE_WITH_PREPROCESSING,Within-section RNA+ATAC contract; use documented transforms and aligned observation IDs.,PARTIALLY_COMPATIBLE,"ATAC unavailable locally. RNA-only representation is possible, but this is not the proposed full multimodal setting.",YES,YES_OR_GENERAL_NUMERIC_VIEW,YES_OR_GENERAL_NUMERIC_VIEW,NOT_NATIVE,YES,within each view across pooled samples; RNA and other-view columns need not match,TRANSFORM_DEPENDENT; do not re-normalize unknown X,NO for fit; annotation-informed K is a separately declared evaluation track,NO,NO for selected tabular variant,https://github.com/scikit-learn/scikit-learn,"Statuses are conditional input-contract interpretations, not successful execution. Single-dataset columns never imply across-stage compatibility.",COMPATIBLE_WITH_FEATURE_HARMONIZATION,Shared per-view coordinates/features or a validated alternate alignment contract required; no pooling stage-specific peaks by column position; E18 remains missing.,REP_KPCA
