dataset,seed,variant,ARI,NMI,AMI,Homogeneity,V_measure,Silhouette
LN_A1,1234,E0_SMART_EXACT,0.23166809517868936,0.37670688016110127,0.3728208824397415,0.4387346945239342,0.3767068801611013,0.08917513489723206
LN_A1,1234,E1_ARISE_GRAPH_ONLY,0.23891509373330186,0.3842658959745175,0.3804046856067741,0.4449192648292755,0.3842658959745175,0.08893624693155289
LN_A1,1234,E2_ARISE_DUAL_RNA,0.2194455012827818,0.370689626964715,0.36664958905852757,0.4191586136008678,0.370689626964715,0.1036929115653038
LN_A1,1234,E3_ARISE_HIERARCHICAL_FUSION,0.21335399308737776,0.3680199663773788,0.36407450463990315,0.4280170525086626,0.3680199663773789,0.09518568217754364
LN_A1,1234,ARISE_EXACT,0.25920709362040556,0.38318770376144695,0.3790597863056683,0.40953136087347825,0.38318770376144695,0.23225316405296326
LN_A1,42,E0_SMART_EXACT,0.21168398891835702,0.37094641559690844,0.3670066863049414,0.43010039767928465,0.3709464155969085,0.10766500979661942
LN_A1,42,E1_ARISE_GRAPH_ONLY,0.21626835438837344,0.36813722539895427,0.3641913846832767,0.428041012041208,0.3681372253989543,0.11122219264507294
LN_A1,42,E2_ARISE_DUAL_RNA,0.22865317584940806,0.370714170511343,0.3666810234804293,0.41939449293337727,0.37071417051134303,0.11307330429553986
LN_A1,42,E3_ARISE_HIERARCHICAL_FUSION,0.22329629188685518,0.36898540724009293,0.3650237686667259,0.4267177944609632,0.368985407240093,0.1058044582605362
LN_A1,42,ARISE_EXACT,0.24452553499425825,0.36898112475204053,0.364768335878098,0.3980807226132706,0.3689811247520405,0.2288256734609604
LN_A1,2024,E0_SMART_EXACT,0.23251248698014645,0.39349336914761934,0.38967356947176923,0.45360567603598173,0.39349336914761945,0.10459964722394943
LN_A1,2024,E1_ARISE_GRAPH_ONLY,0.23729981240952638,0.3891901915068354,0.3852954842234354,0.4427362995709262,0.38919019150683537,0.12617227435112
LN_A1,2024,E2_ARISE_DUAL_RNA,0.22084007092190813,0.37758881864236754,0.37370233601651376,0.43907181159976016,0.37758881864236754,0.09102486073970795
LN_A1,2024,E3_ARISE_HIERARCHICAL_FUSION,0.23548560414531763,0.3827430270615426,0.378831278131196,0.43813545949893856,0.3827430270615426,0.11680763959884644
LN_A1,2024,ARISE_EXACT,0.2628440527751617,0.3823544504704545,0.378206460938367,0.4048306761969208,0.3823544504704545,0.23904168605804443
LN_D1,1234,E0_SMART_EXACT,0.16895004194649366,0.33137406905218675,0.326034449586612,0.39189685766940807,0.33137406905218675,0.08976996690034866
LN_D1,1234,E1_ARISE_GRAPH_ONLY,0.17552737244152478,0.3328968749555827,0.3275600589463569,0.3935366499638183,0.3328968749555826,0.08367877453565598
LN_D1,1234,E2_ARISE_DUAL_RNA,0.18855179949722708,0.33776429783585415,0.33249083911543315,0.40130082532151645,0.33776429783585415,0.08574151247739792
LN_D1,1234,E3_ARISE_HIERARCHICAL_FUSION,0.1629050402178184,0.328116132823639,0.32279750293301257,0.39304245443277497,0.328116132823639,0.09374520927667618
LN_D1,1234,ARISE_EXACT,0.2457081318464375,0.3349205586721939,0.32944373047576875,0.3801158066418881,0.3349205586721938,0.2038412094116211
LN_D1,42,E0_SMART_EXACT,0.17269641009756487,0.31911320977069924,0.3136838255129503,0.37892275811567605,0.31911320977069924,0.09298936277627945
LN_D1,42,E1_ARISE_GRAPH_ONLY,0.18529720786972256,0.3335516714161029,0.32819598303244024,0.39269126130688137,0.3335516714161029,0.08368636667728424
LN_D1,42,E2_ARISE_DUAL_RNA,0.19375935567135227,0.34384919440193934,0.33860826978674147,0.40818871100675413,0.34384919440193934,0.09562854468822479
LN_D1,42,E3_ARISE_HIERARCHICAL_FUSION,0.16121281823855646,0.32724557849395863,0.32190027522537584,0.390531528866804,0.3272455784939587,0.09816904366016388
LN_D1,42,ARISE_EXACT,0.26440273061227537,0.3463365513881767,0.3408958061957739,0.3897721128946787,0.3463365513881768,0.2060103863477707
LN_D1,2024,E0_SMART_EXACT,0.1528025242042659,0.3261970065333623,0.3208624396508693,0.3908230937620227,0.32619700653336237,0.08637823909521103
LN_D1,2024,E1_ARISE_GRAPH_ONLY,0.16459455186007235,0.32158098671885776,0.31620338297060296,0.38450662023614757,0.32158098671885776,0.08990193158388138
LN_D1,2024,E2_ARISE_DUAL_RNA,0.18390784290664028,0.3337147361544463,0.3283795909956999,0.3939898582927254,0.33371473615444625,0.0855838805437088
LN_D1,2024,E3_ARISE_HIERARCHICAL_FUSION,0.1691685523736857,0.32332446075084725,0.3179347014416156,0.38461775145435156,0.32332446075084725,0.0849556103348732
LN_D1,2024,ARISE_EXACT,0.26239301167327816,0.3447574750294606,0.3392683839395381,0.38646329516879924,0.3447574750294606,0.2027505338191986
