method,method_id,input,preprocessing,initial_representation,structural_representation,model,objective,latent_output,clustering_backend,cluster_number_requirement,postprocessing,latent_dimension,sensitive_parameters,source_ids,verification
RNA separate,BASE_RNA,RNA X; raw and transformed arms separately,audit X provenance; RNA library normalization/log1p only in transformed arm; fixed feature policy,X_RNA,none,identity,none,n x G,proposed common backend,backend-dependent,none,G; no latent compression,feature filter; scale,REP_PCA,"DESIGN_ONLY; native unknown fields block execution, not literary inclusion"
Second modality separate,BASE_SECOND,ADT or ATAC X; raw and transformed arms separately,ADT CLR or ATAC TF-IDF/LSI in separate named arms; provenance gate,X_ADT or X_ATAC,none,identity,none,n x T or n x P,proposed common backend,backend-dependent,none,T/P or declared LSI rank,ADT CLR axis; ATAC depth component,REP_PCA,"DESIGN_ONLY; native unknown fields block execution, not literary inclusion"
Scaled concatenation,BASE_CONCAT,paired RNA and second modality,per-view transformation; documented block rescaling,[a X_RNA | b X_second],none,concatenation,none,n x (G+Q),proposed common backend,backend-dependent,none,G+Q; Q is T or P,block weights; feature count imbalance,REP_PCA,"DESIGN_ONLY; native unknown fields block execution, not literary inclusion"
Coordinates only,BASE_SPACE,coordinates S in R^(n x 2),audit units; center/scale within section with recorded rule,S,coordinates,identity,none,n x 2,proposed common backend,backend-dependent,none,2,coordinate scaling; section frames,REP_KPCA,"DESIGN_ONLY; native unknown fields block execution, not literary inclusion"
Spatial kernel control,SPATIAL_KERNEL,S,audit units; scale convention,spatial Gaussian kernel K_S,dense kernel,kernel eigencoordinates,kernel approximation,n x d or n x n kernel,proposed common backend on coordinates,backend-dependent,none,d <= n-1; planned not selected,bandwidth; eigensolver,REP_KPCA,"DESIGN_ONLY; native unknown fields block execution, not literary inclusion"
PCA,PCA_CLASSICAL,one modality or block-scaled concatenation,transform; center training columns; optional standardization recorded,centered X,none,linear projection,squared reconstruction error,n x d,proposed common backend,backend-dependent,none,"d <= min(n-1,p); planned not selected",rank; scaling; block weights,REP_PCA,"DESIGN_ONLY; native unknown fields block execution, not literary inclusion"
NMF,NMF_CLASSICAL,nonnegative view or concatenation,nonnegative normalization; never centered z-scores,X >= 0,none,X approximately W H,chosen Frobenius or divergence objective,W: n x d,proposed common backend,backend-dependent,none,d planned not selected,rank; initialization; loss,REP_NMF,"DESIGN_ONLY; native unknown fields block execution, not literary inclusion"
CCA,CCA_CLASSICAL,paired X_RNA and X_second,center per view; dimension reduction or regularization for singular covariance,two feature matrices,cross-covariance,canonical projections,correlation under variance constraints,two n x d score matrices; joint use separately declared,proposed common backend if joint output declared,backend-dependent,no implicit averaging of scores,d bounded by both training ranks,regularization; ranks; score fusion,REP_CCA,"DESIGN_ONLY; native unknown fields block execution, not literary inclusion"
MOFA+,MOFA_MOFA2,views with aligned observation IDs; missing view masks allowed,per-view normalization; feature selection; choose compatible likelihood; group centering disclosed,multiple matrices,view masks; factor loadings,Bayesian factor model,variational objective,factors n x d,external; no unique required clustering,backend-dependent,none unless declared,factor count planned,likelihood; view scaling; factor count; group mean removal,REP_MOFA_PLUS;DOC_MOFA,"DESIGN_ONLY; native unknown fields block execution, not literary inclusion"
Kernel PCA,KERNEL_PCA,one view or valid concatenation,transform/scale; center training kernel,Gram matrix n x n,kernel,kernel PCA,kernel-space variance,n x d,proposed common backend,backend-dependent,out-of-sample centering uses train statistics,d <= n-1 planned,kernel; bandwidth; rank,REP_KPCA,"DESIGN_ONLY; native unknown fields block execution, not literary inclusion"
