representation_id,name,family,pipeline_role,mathematical_form,modalities,assumptions,paper_ids,record_path,verification_status,evidence_source,notes,mathematical_object,input,output,linear,stochastic,spatial_support,multimodal_support,missing_data_support,biological_prior,information_loss,interpretability,scalability,official_paper,official_code,status
RAW_FEATURE_SPACE,Raw feature space,raw/vector,input,X:n×p,RNA;ADT;ATAC;spatial tables,verified axes and units,VMLS,02_RAW_FEATURE_SPACE.md,X:n×p,X,n×p,yes,no,separate coordinates,tuple/concat,mask retained,optional,none,feature-level,O(np),VMLS,none,studied_not_fitted,,,
FEATURE_SELECTION,Feature-selected matrix,selection,preprocessing,"X[:,J]:n×r",all tabular views,declared J,INTEGRATION;GO,03_FEATURE_SELECTION.md,"X[:,J]",X plus J,n×r,yes,rule-dependent,separate,per-view,rule-dependent,prior optional,omits features,selected names,O(np) pass,INTEGRATION,none,studied_not_fitted,,,
PCA_SCORES,PCA scores/loadings,latent_linear,representation,Z=XcW; W:p×k,numeric tables,centered covariance,REP_PCA,04_PCA.md,scores/loadings,X,n×k; p×k,yes,no,no intrinsic,compatible views,baseline no,optional,residual PCs,loadings,SVD dependent,REP_PCA,CB_SKLEARN,studied_not_fitted,,,
SPARSE_PCA_SCORES,Sparse PCA,latent_sparse,representation,"sparse Z,W",numeric tables,penalty formulation,REP_SPCA,05_SPARSE_PCA.md,scores/loadings,X;penalty,n×k;p×k,yes,solver-dependent,no intrinsic,per-view,estimator-dependent,optional,residual/support,sparse loadings,iterative,REP_SPCA,CB_ELASTICNET,studied_not_fitted,,,
ICA_SCORES,ICA sources,latent_independent,representation,X≈TBᵀ,numeric tables,independent sources,REP_ICA,06_ICA.md,sources/mixing,centered X,n×k;p×k,yes,solver-dependent,no intrinsic,concat possible,baseline no,optional,residual,component weights,iterative,REP_ICA,CB_FASTICA,studied_not_fitted,,,
NMF_FACTORS,NMF factors,latent_nonnegative,representation,X≈WH,nonnegative tables,nonnegativity,REP_NMF,07_NMF.md,"W,H",nonnegative X,n×k;k×p,yes,initialization-dependent,no intrinsic,compatible blocks,masked variants,optional,residual/nonunique,additive profiles,iterative,REP_NMF,CB_SKLEARN,studied_not_fitted,,,
INMF_FACTORS,iNMF/LIGER factors,latent_shared_specific,integration,X_m≈H_m(W+V_m),common-feature blocks,shared feature axis,REP_LIGER,08_INMF.md,"H,W,V_m",nonnegative blocks,Σn_m×k;k×p,yes,nonconvex,no intrinsic,datasets/views,variant-dependent,none,residual/alignment,metagenes,iterative,REP_LIGER,CB_LIGER,studied_not_fitted,,,
FA_FACTORS,Factor analysis,latent_probabilistic,representation,x=Λz+ε,numeric tables,Gaussian latent/noise,MML,09_FACTOR_ANALYSIS.md,scores/loadings/noise,X,n×k;p×k,yes,estimator-dependent,no intrinsic,extensions,estimator-dependent,optional,residual uncertainty,loadings,iterative,MML,CB_SKLEARN,studied_not_fitted,,,
MOFA_FACTORS,MOFA/MOFA+ factors,latent_multiview,integration,X_m≈ZW_m,multi-view blocks,likelihoods/IDs,REP_MOFA;REP_MOFA_PLUS,10_MOFA.md,"Z,W_m",views/masks,n×k;k×p_m,yes,variational,metadata separate,native views,missing likelihood entries,optional,residual/model error,view weights,variational,REP_MOFA,CB_MOFA2,studied_not_fitted,,,
CCA_SCORES,CCA canonical variables,cross_view_linear,integration,"corr(Xa,Yb)",paired blocks,paired rows,REP_CCA,11_CCA.md,scores/weights,"paired X,Y",n×k;weights,yes,no up to signs,no intrinsic,two views,baseline no,none,within-view residual,cross-loadings,covariance/SVD,REP_CCA,CB_SKLEARN,studied_not_fitted,,,
SPARSE_CCA_SCORES,Sparse CCA,cross_view_sparse,integration,"sparse a,b",paired blocks,sparsity constraints,REP_PMD,12_SPARSE_CCA.md,scores/sparse weights,"paired X,Y",n×k;weights,yes,solver-dependent,no intrinsic,paired views,variant-dependent,none,omitted features,selected features,iterative,REP_PMD,CB_PMA,studied_not_fitted,,,
PLS_SCORES,PLS scores,cross_view_predictive,integration,X≈TPᵀ;Y≈UQᵀ,"paired X,Y",target/deflation,REP_PLS,13_PLS.md,scores/loadings,paired blocks,n×k,yes,solver-dependent,optional,two views,variant-dependent,none,residual,weights,iterative,REP_PLS,CB_SKLEARN,studied_not_fitted,,,
MULTIVIEW_FUSION,Multiple-view fused representation,multiview,integration,"f(X_1,…,X_v)",view set,declared fusion position,INTEGRATION,14_MULTIVIEW_FUSION.md,tuple or combined,views,varies,either,mechanism-dependent,optional,native concept,policy-dependent,optional,varies,depends on mechanism,sum of costs,INTEGRATION,varies,studied_not_fitted,,,
CONCATENATED_FEATURES,Concatenated features,early_fusion,integration,[X|Y],paired views,row pairing/scaling,VMLS,15_CONCATENATION.md,joint table,paired blocks,n×Σp,yes,no,coordinates optional,early fusion,mask required,optional,none before later model,feature-level,O(nΣp),VMLS,none,studied_not_fitted,,,
DISTANCE_MATRIX,Distance matrix,pairwise_distance,relationship,"D_ij=d(x_i,x_j)",any numeric/coordinate view,metric/rule,BHK,16_DISTANCE_MATRICES.md,D,X and metric,n×n,relation,no,spatial option,cross-view cost,policy-dependent,none,axes/magnitudes,pairwise,O(n²),BHK,varies,studied_not_fitted,,,
SIMILARITY_MATRIX,Similarity matrix,pairwise_similarity,relationship,"B_ij=s(x_i,x_j)",any view,similarity rule,BHK,17_SIMILARITY_MATRICES.md,B,X and similarity,n×n,relation,no,spatial option,view combination,policy-dependent,optional,feature axes,relation-level,O(n²),BHK,varies,studied_not_fitted,,,
KERNEL_MATRIX,Kernel Gram matrix,kernel,representation,"K_ij=k(x_i,x_j)",numeric/coordinate view,PSD kernel,BHK,18_KERNELS.md,K,X and kernel,n×n,nonlinear,no,kernel-dependent,valid combinations,kernel policy,optional,implicit axes,implicit geometry,O(n²),BHK,varies,studied_not_fitted,,,
KPCA_COORDINATES,Kernel PCA coordinates,kernel_latent,representation,Kc eigenvectors,PSD kernel,centering/eigensystem,REP_KPCA,19_KERNEL_PCA.md,Z,K,n×k,nonlinear,solver-dependent,kernel-dependent,combined kernel,kernel policy,optional,preimage/residual,weak feature trace,O(n³) full,REP_KPCA,CB_SKLEARN,studied_not_fitted,,,
DIFFUSION_COORDINATES,Diffusion map coordinates,diffusion,representation,P^t eigenfunctions,affinity,positive degrees/reversibility,REP_DIFFUSION,20_DIFFUSION_REPRESENTATIONS.md,coordinates,affinity,n×k,nonlinear,solver-dependent,affinity option,per-view,policy-dependent,none,fast modes,connectivity,sparse/dense,REP_DIFFUSION,CB_DESTINY,studied_not_fitted,,,
MANIFOLD_COORDINATES,Manifold coordinates,manifold,representation,local geometry→Z,numeric observations,sampling/manifold assumption,REP_DIFFUSION;REP_UMAP,21_MANIFOLD_LEARNING.md,coordinates/relations,metric and samples,n×k or relations,nonlinear,method-dependent,optional,view-dependent,method-dependent,none,global detail,geometry-level,method-dependent,REP_UMAP,CB_UMAP,studied_not_fitted,,,
TSNE_COORDINATES,t-SNE coordinates,visualization,representation,Y:n×d,numeric observations,neighborhood probabilities,REP_TSNE,22_TSNE.md,Y,distances/perplexity,n×d,nonlinear,stochastic,no intrinsic,input-dependent,baseline no,none,global distances,visualization,quadratic,REP_TSNE,CB_TSNE,studied_not_fitted,,,
UMAP_COORDINATES,UMAP coordinates,visualization,representation,fuzzy graph→Y,numeric observations,metric/neighbors,REP_UMAP,23_UMAP.md,memberships/Y,metric and data,n×d plus graph,nonlinear,stochastic,input coordinates optional,input-dependent,policy-dependent,none,global geometry,neighborhood display,neighbor/optimization,REP_UMAP,CB_UMAP,studied_not_fitted,,,
NEIGHBORHOOD_SETS,Neighborhood sets,neighborhood,relationship,N_k(i),any metric space,k/radius/ties,BHK,24_NEIGHBORHOOD_SETS.md,sets/lists,metric and reference,n sets,relation,tie-dependent,spatial option,per-view,policy-dependent,none,gaps/nonneighbors,neighbor IDs,O(nk) output,BHK,CB_SKLEARN,studied_not_fitted,,,
RANK_RELATIONS,Rank relationships,ordinal,relationship,r_i(j),distance/similarity,ordering/ties,BHK,25_RANK_BASED_RELATIONSHIPS.md,rank lists/matrix,reference distances,n×k or n×n,relation,tie-dependent,spatial option,per-view,policy-dependent,none,gaps/magnitudes,order-level,sorting,BHK,none,studied_not_fitted,,,
OT_COUPLING,Optimal transport plan,transport,alignment,"Π∈U(a,b)",measures/cost,marginals/cost,REP_OT,26_OPTIMAL_TRANSPORT.md,Π,cost and masses,n×m,relation,solver-dependent,cost option,cross-domain,variants,optional,not inverse,mass correspondence,O(nm),REP_OT,CB_POT,studied_not_fitted,,,
ENTROPIC_COUPLING,Entropic OT plan,transport_regularized,alignment,Π=diag(u)Kdiag(v),OT cost,epsilon/marginals,REP_SINKHORN,27_ENTROPIC_OT.md,Π,OT and epsilon,n×m,optimization,numerical,cost option,cross-view,variants,optional,regularization bias,diffuse coupling,O(nm) pass,REP_SINKHORN,CB_POT,studied_not_fitted,,,
GW_COUPLING,Gromov-Wasserstein plan,relational_transport,alignment,four-index relational loss,internal distances,comparable relational structure,REP_OT,28_GROMOV_WASSERSTEIN.md,Π,within-domain D,n×m,nonlinear,nonconvex,spatial relations,differing features,variants,none,no axes,structural correspondence,quadratic-ish,REP_OT,CB_POT,studied_not_fitted,,,
SPATIAL_COORDINATES,Spatial coordinates,spatial,metadata,S:n×d_s,spatial assays,units/frame/IDs,PASTE,29_SPATIAL_REPRESENTATIONS.md,S,coordinates,n×d_s,identity,no,intrinsic,separate,missing coords,none,summaries lose detail,physical position,O(nd_s),PASTE,none,studied_not_fitted,,,
GRAPH,Graph,graph,relationship,"G=(V,E),A",observations/entities,edge semantics,NETWORKX,30_GRAPH_REPRESENTATIONS.md,A/edge list,vertices and edges,"N,|E|",relation,rule-dependent,optional,layers/types,membership policy,optional,nonedges/features,edge provenance,sparse/dense,NETWORKX,CB_NETWORKX,studied_not_fitted,,,
GRAPH_CONSTRUCTION,Graph construction,graph_rule,relationship,A=f(D/B/S),feature/coordinate relation,rule/ties/weights,NETWORKX,31_GRAPH_CONSTRUCTION_FAMILIES.md,A,metric or relation,N×N sparse,relation,rule-dependent,spatial option,per-view,policy-dependent,optional,thresholded relations,rule-readable,O(nk) output,NETWORKX,CB_NETWORKX,studied_not_fitted,,,
MULTIPLEX,Multiplex layers,multilayer,relationship,{A^(m)},layered views,node/layer mapping,REP_MULTILAYER,32_MULTIPLEX_REPRESENTATIONS.md,layers/supra-A,relation layers,v×n×n,relation,rule-dependent,layer,native layers,layer missingness,optional,aggregation loss,provenance,O(vn²),REP_MULTILAYER,none,studied_not_fitted,,,
HETEROGENEOUS_GRAPH,Heterogeneous graph,typed_graph,relationship,"typed V,E",multiple entity types,type maps/evidence,PATHSIM;GO,33_HETEROGENEOUS_REPRESENTATIONS.md,typed blocks,entities/relations,varies,relation,rule-dependent,optional,typed views,typed missingness,strong,untyped collapse,relation semantics,edge-dependent,PATHSIM,CB_NETWORKX,studied_not_fitted,,,
HYPERGRAPH,Hypergraph incidence,hypergraph,relationship,H:N×h,group membership,group semantics,HIGHER,34_HYPERGRAPHS.md,H,vertices/hyperedges,N×h,higher-order,rule-dependent,optional,group views,membership policy,optional,pairwise expansion,group provenance,sparse memberships,HIGHER,CB_HYPERNETX,studied_not_fitted,,,
HIGHER_ORDER,Higher-order structures,higher_order,relationship,motifs/simplices,graph/groups,order/closure,HIGHER,35_HIGHER_ORDER_REPRESENTATIONS.md,motifs/simplices,relation/group rules,variable,relation,rule-dependent,optional,typed groups,policy-dependent,optional,pairwise loss,collective patterns,combinatorial,HIGHER,CB_HYPERNETX,studied_not_fitted,,,
TENSOR,Tensor,tensor,representation,𝓧:n×p×v,compatible axes,axis compatibility,TENSOR,36_TENSORS.md,tensor/factors,multiway array,n×p×v etc.,multilinear,iterative,axis-dependent,compatible views,mask needed,optional,factor/residual,mode factors,O(npv) dense,TENSOR,CB_TENSOR,studied_not_fitted,,,
SET,Feature sets,set,representation,F_i⊂G,detected feature IDs,universe/threshold,BHK,37_SET_REPRESENTATIONS.md,sets/incidence,feature universe,n sets,membership,rule-dependent,optional,per modality,mask separate,optional,magnitude loss,support-level,memberships,BHK,none,studied_not_fitted,,,
PROTOTYPE_DISTANCE,Prototype distances,prototype,representation,"R_ij=d(x_i,c_j)",profiles/metric,prototype provenance,VMLS,38_PROTOTYPES.md,R:n×k,X and prototypes,n×k,metric,prototype-dependent,optional,per-view,policy-dependent,optional,off-prototype detail,reference-relative,O(nkp),VMLS,none,studied_not_fitted,,,
CLUSTER_ASSIGNMENT,Cluster assignments,cluster,summary,z or P,fitted grouping,model/k,MATH_ROUSSEEUW_1987,39_CLUSTER_REPRESENTATIONS.md,z/P,grouping model,n or n×k,mechanism-dependent,solver/seed,optional,input-dependent,estimator-dependent,optional,within-cluster detail,labels/membership,O(nk),MATH_ROUSSEEUW_1987,CB_SKLEARN,studied_not_fitted,,,
PROBABILISTIC_SUMMARY,Distribution summary,probabilistic,summary,"(μ_i,Σ_i)",probabilistic model,likelihood/prior,PROB,40_PROBABILISTIC_REPRESENTATIONS.md,μ/Σ,model,n×k (+cov),model-dependent,stochastic,model-dependent,model-dependent,likelihood-dependent,optional,distributional approximation,conditional uncertainty,O(nk²),MML,varies,studied_not_fitted,,,
BIOLOGICAL_PRIOR,Biological prior,prior,biological_prior,XP / typed network,IDs and annotations,release/evidence,GO;REACTOME;STRING;UNIPROT;ENSEMBL,41_BIOLOGICAL_PRIOR_REPRESENTATIONS.md,scores/relations,X plus prior,n×r or graph,rule-dependent,versioned,region metadata,mapped views,annotation missing,explicit,unannotated detail,vocabulary-level,sparse prior,GO,varies,studied_not_fitted,,,
PATHWAY_SCORE,Pathway/gene-set score,pathway,biological_prior,"R_ik=f(X_i,G_k)",expression/ATAC summaries,set definition,REP_GSVA,42_PATHWAY_REPRESENTATIONS.md,R:n×r,X and gene sets,n×r,rule-dependent,method-dependent,region separate,mapped views,gene missing policy,explicit,composition detail,pathway names,memberships,REP_GSVA,CB_GSVA,studied_not_fitted,,,
REGULATORY_ACTIVITY,Regulatory activity,regulatory,biological_prior,A:n×r,RNA/ATAC plus targets/motifs,network/motif assumptions,REP_SCENIC;REP_CHROMVAR,43_REGULATORY_ACTIVITY.md,activity scores,assay plus prior,n×r,inferred,method-dependent,metadata,mapped assays,assay-dependent,explicit,measured/inferred gap,program score,inference-dependent,REP_SCENIC,CB_SCENIC;CB_CHROMVAR,studied_not_fitted,,,
DEVELOPMENTAL_TIME,Stage/pseudotime,time,metadata,stage or t_i,stage labels/trajectory,chronology vs inference,REP_PSEUDOTIME,44_DEVELOPMENTAL_TIME.md,labels/scores,labels or model,n or n×branch,ordinal/inferred,method-dependent,metadata,view-dependent,stage missing,optional,branch/absolute time,progression,O(n) or trajectory,REP_PSEUDOTIME,CB_MONOCLE,studied_not_fitted,,,
SPATIAL_REGION,Spatial region,region,metadata,labels/distances/gradients,coordinates/boundaries,frame/annotation,PASTE,45_SPATIAL_REGION_REPRESENTATIONS.md,labels/scores,S and labels,"n,n×r,n×g",categorical/continuous,rule/model,intrinsic,molecular separate,label missing,optional,continuum/detail,anatomical vocabulary,O(nr),PASTE,none,studied_not_fitted,,,
DEEP_POINT_EMBEDDING,Neural point embedding,deep_neural,representation,Z=fθ(X):n×d,RNA;ADT;ATAC;spatial,declared architecture/objective,DCA_2019;SCVI_2018,06_representations/02_deep_learned_representations/01_NEURAL_REPRESENTATION_FOUNDATIONS.md,studied_not_fitted,06_representations/02_deep_learned_representations/SOURCES.md,Schema only; no project fit.,n×d matrix,X,Z,no,optional,optional,optional,method-dependent,optional,architecture-dependent,method-dependent,method-dependent,DCA_2019;SCVI_2018,CB_DCA;CB_SCVI_TOOLS,studied_not_fitted
DEEP_PROBABILISTIC_EMBEDDING,Probabilistic neural embedding,deep_generative,representation,qφ(Z|X):n distributions,RNA;ADT;ATAC;spatial,likelihood and prior,SCVI_2018;MULTIVI_2023,06_representations/02_deep_learned_representations/46_DETERMINISTIC_VS_PROBABILISTIC.md,studied_not_fitted,06_representations/02_deep_learned_representations/SOURCES.md,Distribution parameters are not measured biology.,distribution parameters/samples,X,"μ,σ or samples",no,yes,optional,yes,method-dependent,likelihood prior,model-dependent,uncertainty summaries,method-dependent,SCVI_2018;MULTIVI_2023,CB_SCVI_TOOLS,studied_not_fitted
DEEP_GRAPH_EMBEDDING,Neural graph embedding,deep_graph,representation,"Z=GNNθ(X,A):n×d",RNA;ADT;ATAC;spatial,graph A is declared and versioned,GCN_2017;GRAPHCL_2020,06_representations/02_deep_learned_representations/25_GNN_FOUNDATIONS.md,studied_not_fitted,06_representations/02_deep_learned_representations/SOURCES.md,No graph built from project data.,node embedding matrix,"X,A",Z,no,optional,yes,optional,method-dependent,graph relation,depth/aggregation dependent,method-dependent,O(|E|d) conceptually,GCN_2017,none,studied_not_fitted
DEEP_CONTRASTIVE_EMBEDDING,Neural contrastive embedding,deep_contrastive,representation,Z=fθ(X):n×d,RNA;ADT;ATAC;spatial,positive/negative view rule,SIMCLR_2020;CPC_2018,06_representations/02_deep_learned_representations/14_CONTRASTIVE_LEARNING.md,studied_not_fitted,06_representations/02_deep_learned_representations/SOURCES.md,No pairs or augmentations created.,embedding matrix,X or views,Z,no,optional,optional,yes,method-dependent,pair rule,invariance dependent,pair/feature analysis,batch dependent,SIMCLR_2020,none,studied_not_fitted
